店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
浜焼きと創作料理 ざくろ 尼崎,050-5484-5129,,兵庫県,尼崎市,潮江1-8-1,コーポ潮江1F,,
個室居酒屋 海鮮料理 さかなや道場JR尼崎駅南口店,050-5485-2140,,兵庫県,尼崎市,長洲本通1-4-2,レジュールアッシュ尼崎駅前2F,,
個室居酒屋 海鮮料理 さかなや道場JR尼崎駅南口店,050-5485-2140,,兵庫県,尼崎市,長洲本通1-4-2,レジュールアッシュ尼崎駅前2F,,
鶏と魚の居酒屋 うちわＪＲ尼崎アミング店,050-5486-3152,,兵庫県,尼崎市,潮江1-22-1,アミング潮江ウエスト1番館1Ｆ,,
旬菜炉ばた焼 榮 SAKAE,050-5494-6091,,兵庫県,尼崎市,長洲西通1-1-20,,,
炭火焼肉 GYUー,050-5486-3139,,兵庫県,尼崎市,長洲西通1-1-17,,,
お肉と私の酒場 HASEGAWA,050-5484-2930,,兵庫県,尼崎市,潮江1-4-2,アミングプラスト2F,,
浜焼きと創作料理 ざくろ 尼崎,050-5484-5129,,兵庫県,尼崎市,潮江1-8-1,コーポ潮江1F,,
和彩旬彩 うおまん尼崎キューズモール店,050-5485-1917,,兵庫県,尼崎市,潮江1-3-1,あまがさきキューズモール本館4F,,
焼鳥と焼野菜 ぎんすけ ＪＲ尼崎店,050-5488-5091,,兵庫県,尼崎市,長洲中通1-2-1,,,
美味しい炭火焼き居酒屋金魚 JR尼崎駅前店,050-5485-1067,,兵庫県,尼崎市,潮江1-4-5,アミング潮江プラストいきいき3F,,
居楽屋白木屋 ＪＲ尼崎北口駅前店,06-6492-6788,,兵庫県,尼崎市,潮江1-4-5,アミング潮江プラストいきいき2F,,
WIRED 本店,050-5486-2112,,兵庫県,尼崎市,潮江1-4-2,アミング潮江プラスト2F,,
SAKE dining Toiro,050-5486-7225,,兵庫県,尼崎市,長洲中通り1-1-21,清川マンション1F,,
炭火の王様 sumibi king,050-5492-9588,,兵庫県,尼崎市,潮江1-16-1,アミングWEST1F,,
中華バル 風×ふぅふぅ食堂,050-5486-1089,,兵庫県,尼崎市,潮江1-4-2-104,アミング潮江プラストA棟,,
JR尼崎餃子酒場 満太郎,06-6423-7552,,兵庫県,尼崎市,長洲西通1-1-6,,,
Andante,050-5488-0733,,兵庫県,尼崎市,潮江1-11-1,ラヴェール尼崎108,,
肉と鍋 さとり,050-5487-4125,,兵庫県,尼崎市,潮江1-22-1,アミング潮江ウエスト1F,,
炭火焼鳥 鶏秀,050-5488-9592,,兵庫県,尼崎市,長洲本通1-7-5,1F,,
台湾小籠包あまがさきキューズモール店,050-5493-2518,,兵庫県,尼崎市,潮江1-3-1,あまがさきキューズモール4F,,
al ponte（アルポンテ）,050-5487-5589,,兵庫県,尼崎市,潮江1-4-2,1F,,
CORONA winebar and dining,050-5489-3804,,兵庫県,尼崎市,潮江1-21-1,1F,,
鯨と塩ミンチ 神戸 雄,050-5486-7514,,兵庫県,尼崎市,潮江1-20-1,アミング潮江イースト1F,,
肉とハイボール 居酒屋 YOU家,050-5485-1068,,兵庫県,尼崎市,長洲西通1-3-21,エヌイーワールド尼崎1F,,
お酒と食のペアリング スペインバルアクスリー,050-5492-2260,,兵庫県,尼崎市,潮江1-36-10,COZYセイケン参番館1F,,
鮨ラウンジ しょう菜,050-5492-2141,,兵庫県,尼崎市,長洲西通1-1-9,,,
cafe＆restaurant West River,050-5487-7941,,兵庫県,尼崎市,潮江1-4-1,ホテルヴィスキオ尼崎2F,,
骨付鳥・博多水炊き 大和,050-5484-2968,,兵庫県,尼崎市,長洲西通1-2-21,,,
三代目鳥メロ JR尼崎南口店,050-5492-3932,,兵庫県,尼崎市,長洲本通1-4-2,レジュールアッシュ尼崎駅前1F,,
カプリチョーザ あまがさきキューズモール店,050-5493-6134,,兵庫県,尼崎市,潮江1-3-1,あまがさきキューズモール4F,,
神戸元町餃子 尼崎アミング潮江店,050-5492-6491,,兵庫県,尼崎市,潮江1-15-2,アミング潮江イーストA3棟,,
浜焼きと創作料理 ざくろ 尼崎,050-5484-5129,,兵庫県,尼崎市,潮江1-8-1,コーポ潮江1F,,
炭火焼肉 GYUー,050-5486-3139,,兵庫県,尼崎市,長洲西通1-1-17,,,
鶏笑 尼崎長洲本通り店,050-5493-0608,,兵庫県,尼崎市,長洲本通り1-7-19,,,
どうとんぼり神座あまがさきキューズモール店,06-4950-7208,,兵庫県,尼崎市,潮江1-3-1,1Fフードコート,,
焼鳥屋 鳥貴族 ＪＲ尼崎店,06-6415-9559,,兵庫県,尼崎市,潮江1-4-5,アミング潮江プラストいきいき館3F,,
串家物語 あまがさきキューズモール店,050-5489-4326,,兵庫県,尼崎市,潮江1-3-1,あまがさきキューズモール4F,,
丸亀製麺 あまがさきキューズモール店,06-6493-8636,,兵庫県,尼崎市,潮江1-3-1,あまがさきキューズモール本館1F,,
松屋 尼崎潮江店,06-4960-8801,,兵庫県,尼崎市,潮江1-27-15,,,
CORONA SALAD WORKS,050-5489-3805,,兵庫県,尼崎市,潮江1-22-1,アミング潮江ウエスト1番館1F,,
松乃家 JR尼崎店,06-6482-1191,,兵庫県,尼崎市,長洲本通1-4-2,レジュールアッシュ尼崎駅前,,
サンマルクカフェあまがさきキューズモール店,06-6493-7309,,兵庫県,尼崎市,潮江1-3-1,,,
松屋 JR尼崎店,06-6482-1181,,兵庫県,尼崎市,長洲本通1-4-2,レジュールアッシュ尼崎駅前,,
餃子の王将 JR尼崎駅前店,06-6480-5578,,兵庫県,尼崎市,潮江1-16-1,アミング潮江ウエスト2番館1F,,
サイゼリヤ JR尼崎駅前店,06-6496-5011,,兵庫県,尼崎市,潮江1-4-5,アミング潮江プラストいきいき3F,,
天ぷら 天助 あまがさきキューズモール店,06-6493-5129,,兵庫県,尼崎市,潮江1-3-1,,,
デリカフェ エキスプレス尼崎,06-4950-0315,,兵庫県,尼崎市,潮江1-1-1,JR尼崎駅橋上東口改札内コンコース,,
串カツ田中 尼崎店,06-6435-9494,,兵庫県,尼崎市,潮江1-22-1,,,
アマの焼肉 ニューじゅん亭 尼崎駅前パーク,06-6491-1129,,兵庫県,尼崎市,潮江1-11-1,ラ・ヴェール尼崎1F,,
